State,BurnProgram
Alabama,Yes
Alaska,No
Arizona,No
Arkansas,No
California,No
Colorado,Yes
Connecticut,No
Delaware,No
Florida,Yes
Georgia,Yes
Hawaii,No
Idaho,No
Illinois,Yes
Indiana,No
Iowa,No
Kansas,No
Kentucky,Yes
Louisiana,Yes
Maine,No
Maryland,No
Massachusetts,No
Michigan,No
Minnesota,No
Mississippi,Yes
Missouri,No
Montana,No
Nebraska,No
Nevada,No
New Hampshire,No
New Jersey,No
New Mexico,No
New York,No
North Carolina,Yes
North Dakota,No
Ohio,Yes
Oklahoma,No
Oregon,No
Pennsylvania,Yes
Rhode Island,No
South Carolina,Yes
South Dakota,No
Tennessee,Yes
Texas,Yes
Utah,No
Vermont,No
Virginia,Yes
Washington,No
West Virginia,No
Wisconsin,No
Wyoming,No
